EventID,DecodedID,EventName,DateTime
1AvfZb8GkDl30yC,R250324,Washington Wizards vs. Toronto Raptors,2025-03-24 23:00:00+00:00
Za5ju3rKuqZDeQPsr_wLaZkyin62g0pXaI,L250325,Toronto Maple Leafs vs Philadelphia Flyers,2025-03-25 23:00:00+00:00
Za5ju3rKuqZDeDurl48Ys6S13cZ7kSy4f5,L250325,Toronto Maple Leafs vs Philadelphia Flyers,2025-03-25 23:00:00+00:00
Za5ju3rKuqZDe-MQ1-6MPuwDMw-YKvbUsD,L250325,Toronto Maple Leafs vs Philadelphia Flyers,2025-03-25 23:00:00+00:00
Za5ju3rKuqZDe-IffwB1A2YyvWllOTI1Xs,L250325,Toronto Maple Leafs vs Philadelphia Flyers,2025-03-25 23:00:00+00:00
Za5ju3rKuqZDdqo7o1fTaC855XMuxEL-og,L250325,Toronto Maple Leafs vs Philadelphia Flyers,2025-03-25 23:00:00+00:00
177ZvOG62Xcrd-6,L250325,Toronto Maple Leafs vs. Philadelphia Flyers,2025-03-25 23:00:00+00:00
1AYZkA6Gkd1SVvt,R250326,Brooklyn Nets  vs Toronto Raptors (Suite),2025-03-26 23:30:00+00:00
Za5ju3rKuqZDedbecAZ_c7dDskotEwJjk_,R250326,JetBlue at the Key Pass-Nets v Toronto Raptors,2025-03-26 23:30:00+00:00
Za5ju3rKuqZDe_lWzdwwyvEQmAj0jLbcjJ,R250326,The Toki Row Pass - Nets vs.Toronto Raptors,2025-03-26 23:30:00+00:00
1AdZZb8GkUE6vMm,R250326,Brooklyn Nets v. Toronto Raptors (Nets Unite: Women's Impact Night),2025-03-26 23:30:00+00:00
Za5ju3rKuqZBAmP6uRSWub_PGGYSFdbuP,R250326,BKLYN Gold Pass - Nets vs. Toronto Raptors,2025-03-26 23:30:00+00:00
Za5ju3rKuqZDdcurNNHQqemhN7lBdHVTzN,R250326,Brooklyn Nets vs. Toronto Raptors (Suite),2025-03-26 23:30:00+00:00
Za5ju3rKuqZBQT7BC_z_GYD17oLQDppOA,L250328,BuyBack: San Jose Sharks vs. Toronto Maple Leafs,2025-03-28 02:30:00+00:00
Za5ju3rKuqZDdFSUjYqy_e4hwOXhrs7TxH,L250328,San Jose Sharks vs. Toronto Maple Leafs,2025-03-28 02:30:00+00:00
G5vYZbuNcrMHo,L250328,San Jose Sharks vs. Toronto Maple Leafs,2025-03-28 02:30:00+00:00
1k7Zv-a6GACLOy_,R250328,GREATEST OF ALL TORONTO NIGHT | Toronto Raptors v Charlotte Hornets,2025-03-28 23:30:00+00:00
Za5ju3rKuqZDe0bO0bqlydrnPPJPO599aN,R250328,Toronto Raptors vs Charlotte Hornets,2025-03-28 23:30:00+00:00
Za5ju3rKuqZDe4WGI3ODAdOB7CiQr8Zt96,R250328,Toronto Raptors vs Charlotte Hornets,2025-03-28 23:30:00+00:00
Za5ju3rKuqZDef05GqsQv6fQIR2vJlbrPP,R250328,Toronto Raptors vs Charlotte Hornets,2025-03-28 23:30:00+00:00
